Column1,,,,,Column13,,Column14,Column2,Column22,Column3,Column32,Column4,Column42,Column5,Column52,Column6,Column62,Column8,Column82,Column7,Column72,Column9,Column92,Column10,Column102,Column11,Column112,Column12,Column102,,
,,,,,,,,,,,,,,,,,,,,*Look into finding total team crosses in season,,*Total crosses by player in a season,,,*Usage Rate,,,,,,
First Name,Last Name,Position,Age,Current Club,League,Modifier,Clubs Represented,Starts,Score,Minutes,Score,Gls+Ast+PK,Score,YC+(RC*5/90,Score,Pass%,Score,Pass into Final 1/3,Score,Successful Cross Into Box,Score,Tackle % (vs dribbles),Score,Pressure Success %,Score,Tkl+Int+Blk+Clr,Score,Errors,Score,Total Score,Weighted Score
Andrew,Gutman,LB,24,FC Cincinnati,USL,0.9,Charlotte/FC Cincinnati,16,47.06,1543,26.95,1.5,22.73,0.25,41.46,71.5,32.43,28.5,26.22,1.8,18,38.6,71.48,29.1,60.2,96.3,10.65,0.8,60,37.92,34.13
Greg,Garza,LB,29,FC Cincinnati,MLS,1,Atlanta United FC/FC Cincinnati,11,32.35,914,-4.27,0.7,10.61,0.39,1.4,82.3,81.08,29.3,26.95,4.3,43,49.8,92.22,27.5,52.24,77,1,1.3,35,33.78,33.78
Julian,Araujo,RB,18,LA Galaxy,MLS,1,LA Galaxy/LA Galaxy II,7,20.59,602,-19.75,0.7,10.61,0.4,0.28,74.5,45.95,23,21.16,7,70,38.5,71.3,25.7,43.28,88,6.5,0,100,33.63,33.63
Chase,Gasper,LB,24,Minnesota United,MLS,1,Minnesota United,14,41.18,1293,14.54,1.3,19.7,0.83,-122.13,77.7,60.36,49,45.08,5,50,51.5,95.37,27.4,51.74,131,28,0.7,65,31.71,31.71
Matthew,Real,LB,21,Philadelphia Union,USL,0.9,Bethlahem/Philadelphia Union,20,58.82,1774,38.41,2.1,31.82,0.33,19.61,70.1,26.13,2.1,1.93,1.2,12,39.5,73.15,28.4,56.72,9.9,-32.55,0,100,35.09,31.58
Marlon,Hairston,RB,26,Minnesota United,MLS,1,Colorado Rapids/Houston Dynamo,8,23.53,643,-17.72,0.3,4.55,0.06,94.68,78,61.71,16,14.72,2.7,27,24.4,45.19,19.3,11.44,39.3,-17.85,0,100,31.57,31.57
Marco,Farfan,LB,21,Portland Timbers,USL,0.9,Portland Timbers/Timbers II,18,52.94,1563,27.94,0.6,9.09,0.24,42.86,68.5,18.92,4.8,4.42,0.3,3,47,87.04,34.7,88.06,32.7,-21.15,0.8,60,33.92,30.53
Jaylin,Lindsey,RB,20,Sporting Kansas City,USL,0.9,Swope Park/Sporting Kansas City,13,38.24,1206,10.22,0.6,9.09,0.13,75.63,74.2,44.59,7.5,6.9,1.2,12,57.2,105.93,24.8,38.81,15.6,-29.7,0.8,60,33.79,30.41
Chris,Odoi-Atsem,RB,25,DC United,MLS,1,DC United,3,8.82,271,-36.18,1.3,19.7,0.23,45.94,79.2,67.12,2.7,2.48,0.3,3,50,92.59,27,49.75,10,-32.5,0,100,29.16,29.16
Chris,Duvall,RB,29,Portland Timbers,MLS,1,Houston Dynamo/Montreal Impact,7,20.59,764,-11.71,0.3,4.55,0.26,38.94,78.3,63.06,16,14.72,1.7,17,34.5,63.89,19.5,12.44,33.3,-20.85,0,100,27.51,27.51
Bryan,Reynolds,RB,19,FC Dallas,MLS,1,FC Dallas,1,2.94,119,-43.72,1,15.15,0.07,92.44,75.4,50,2,1.84,1,10,38.9,72.04,23.7,33.33,9,-33,0,100,27.37,27.37
